Zone,State,City,Name,Type,Establishment Year,Time Needed (hrs),Google Review Rating,Entrance Fee (INR),Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of Google Reviews (in lakhs),Best Time to Visit,Latitude,Longitude
North-East,Odisha,Bhubaneswar,Place 1,Beach,1667.0,2.8,3.9,200,No,Saturday,UNESCO World Heritage Site,Yes,4.1,October to March,16.3601,91.7988
West,Himachal Pradesh,Shimla,Place 2,Museum,1711.0,2.5,4.3,50,Yes,Monday,Pilgrimage Site,Yes,9.1,October to March,35.6008,75.7197
North-East,Odisha,Bhubaneswar,Place 3,Beach,,4.5,4.1,20,No,Sunday,UNESCO World Heritage Site,Yes,8.4,October to March,17.9531,72.3991
Central,Bihar,Patna,Place 4,Monument,1740.0,1.9,3.9,100,No,Monday,Popular Tourist Spot,No,6.6,April to September,33.9921,76.5642
West,Kerala,Thiruvananthapuram,Place 5,Museum,,1.1,4.8,100,No,Monday,Popular Tourist Spot,Yes,8.8,Year-round,17.8087,71.0109
East,Rajasthan,Udaipur,Place 6,Historical,,1.5,3.6,100,Yes,Sunday,UNESCO World Heritage Site,Yes,1.1,October to March,13.5198,69.2289
East,Himachal Pradesh,Manali,Place 7,Beach,1569.0,3.1,3.5,20,Yes,Monday,Pilgrimage Site,Yes,0.8,Year-round,8.064,79.3802
South,Assam,Guwahati,Place 8,Historical,,1.5,4.8,50,Yes,None,UNESCO World Heritage Site,Yes,9.3,October to March,36.0257,92.8723
Central,Delhi,Delhi,Place 9,Cultural,,3.4,4.4,200,No,Thursday,UNESCO World Heritage Site,No,6.0,October to March,29.9031,93.4347
Central,Bihar,Patna,Place 10,Nature,,3.4,4.0,100,No,Wednesday,Pilgrimage Site,Yes,8.1,Year-round,12.6163,79.4545
East,Kerala,Thiruvananthapuram,Place 11,Nature,,1.2,4.0,200,No,Wednesday,Colonial Heritage,Yes,7.4,Year-round,17.8403,82.353
South,West Bengal,Darjeeling,Place 12,Religious,,4.2,5.0,20,Yes,Tuesday,UNESCO World Heritage Site,No,9.4,October to March,31.4945,95.7191
Central,Bihar,Patna,Place 13,Monument,,3.7,4.7,100,No,Monday,Colonial Heritage,No,9.4,April to September,31.2967,73.3882
West,Jammu & Kashmir,Srinagar,Place 14,Religious,1614.0,4.9,3.8,20,Yes,Friday,Popular Tourist Spot,No,5.4,October to March,15.7379,69.2633
East,Karnataka,Mysuru,Place 15,Beach,,4.1,4.0,200,No,Monday,Colonial Heritage,Yes,3.8,October to March,24.8389,74.2459
West,Meghalaya,Shillong,Place 16,Cultural,,4.4,4.2,50,Yes,Friday,Pilgrimage Site,Yes,4.1,April to September,13.2083,88.356
East,Meghalaya,Shillong,Place 17,Monument,,1.1,3.5,100,No,Sunday,Pilgrimage Site,Yes,5.9,April to September,21.8507,83.4823
West,Gujarat,Ahmedabad,Place 18,Museum,,3.1,4.8,200,No,Friday,Popular Tourist Spot,Yes,8.5,October to March,33.9547,94.8349
West,Punjab,Amritsar,Place 19,Nature,,4.5,3.7,200,No,Wednesday,Popular Tourist Spot,Yes,5.0,Year-round,18.4583,75.9429
East,Gujarat,Ahmedabad,Place 20,Nature,1563.0,2.6,3.5,20,Yes,Thursday,UNESCO World Heritage Site,No,7.9,October to March,25.9259,70.4418
North-East,Andhra Pradesh,Tirupati,Place 21,Historical,1526.0,1.8,4.9,20,No,Wednesday,Popular Tourist Spot,Yes,3.7,Year-round,11.1506,82.7069
West,Andhra Pradesh,Tirupati,Place 22,Market,,1.2,4.5,200,No,Wednesday,Colonial Heritage,Yes,7.5,October to March,13.2929,94.9115
South,Himachal Pradesh,Manali,Place 23,Beach,1998.0,1.1,4.4,20,Yes,Saturday,Popular Tourist Spot,No,1.9,Year-round,18.3497,78.818
South,Tamil Nadu,Coimbatore,Place 24,Historical,,5.0,3.7,0,No,None,Popular Tourist Spot,Yes,5.7,October to March,22.3985,94.7363
North,Telangana,Hyderabad,Place 25,Museum,,4.0,5.0,20,No,Friday,UNESCO World Heritage Site,Yes,9.9,October to March,19.1945,76.9284
West,Karnataka,Mysuru,Place 26,Cultural,,1.3,4.5,20,Yes,Friday,Pilgrimage Site,Yes,9.6,October to March,9.577,90.6642
